CountyName,MedianHomePrice,FIPS,Population,MedianIncome,HousingAffordabilityIndex
"Nantucket County, Massachusetts",1705210,25019,13795,116571,6.836166806434398
"San Mateo County, California",1701860,6081,762488,136837,8.040438108892625
"Santa Clara County, California",1664410,6085,1932022,140258,8.426890009072284
"Marin County, California",1584980,6041,262387,131008,8.265593256697246
"San Francisco County, California",1575700,6075,865933,126187,8.008313765310655
"Teton County, Wyoming",1311740,56039,23319,94498,7.204019089148764
"New York County, New York",1193370,36061,1669127,93956,7.87316590831008
"Alameda County, California",1158980,6001,1673133,112017,9.66513658561839
"Santa Cruz County, California",1128000,6087,272138,96093,8.518882978723404
"Orange County, California",1096420,6059,3182923,100485,9.164827347184474
"Maui County, Hawaii",1085900,15009,164568,88249,8.126807256653468
"Falls Church city, Virginia",1036460,51610,14494,155071,14.961600061748644
"Pitkin County, Colorado",1029390,8097,17471,92708,9.006110414905915
"San Diego County, California",1023450,6073,3296317,88240,8.621818359470419
"Kauai County, Hawaii",1013980,15007,73247,86287,8.50973391980118
"Honolulu County, Hawaii",1007420,15003,1015167,92600,9.191796867245042
"Kings County, New York",1006160,36047,2712360,67753,6.733819670827701
"Summit County, Utah",998780,49043,42156,116351,11.64931216083622
"King County, Washington",982130,53033,2240876,106326,10.826061722989829
"Monroe County, Florida",974720,12087,82244,73153,7.505027084701248
"Santa Barbara County, California",964030,6083,447651,84356,8.750350092839435
"Arlington County, Virginia",963630,51013,235764,128145,13.29815385573301
"Los Angeles County, California",948880,6037,10019635,76367,8.048119888710902
"Napa County, California",946580,6055,138795,97498,10.300027467303345
"Contra Costa County, California",941390,6013,1161643,110455,11.733181784382667
"San Luis Obispo County, California",937390,6079,282771,82514,8.8025261630698
"Summit County, Colorado",904790,8117,31042,93505,10.33444224626709
"Ventura County, California",904670,6111,845255,94150,10.407109774835023
"Eagle County, Colorado",902670,8037,55693,91338,10.118648010900994
"Williamson County, Tennessee",895960,47187,242386,116492,13.001919728559312
"San Benito County, California",893010,6069,63329,95606,10.706039126101611
"Monterey County, California",877380,6053,438953,82013,9.347489115320613
"Boulder County, Colorado",870200,8013,328713,92466,10.625833141806481
"Gallatin County, Montana",857280,30031,116725,76208,8.88951101157148
"Sonoma County, California",853750,6097,492498,91607,10.7299560761347
"Middlesex County, Massachusetts",851690,25017,1623411,111790,13.125667789923565
"Suffolk County, Massachusetts",846770,25025,792647,80260,9.47837075002657
"District of Columbia, District of Columbia",828250,11001,683154,93547,11.29453667370963
"Douglas County, Colorado",826460,8035,351929,127443,15.420347022239431
"Queens County, New York",814270,36081,2393104,75886,9.319513183587754
"Routt County, Colorado",804290,8107,24899,83725,10.409802434445286
