County Name,Median Home Price,FIPS,Population,Median Income,Housing Affordability Index,Classification
"Sumner County, Tennessee",478310,47165,193036,73517,15.370157429282264,Urban
"Hinsdale County, Colorado",477270,8053,858,45714,9.578226161,Rural
"Sumter County, Florida",476310,12119,127335,63323,13.294493082236356,Suburban
"Spokane County, Washington",475390,53063,531477,64079,13.479248616925052,Suburban
"Durham County, North Carolina",475210,37063,320146,67000,14.09902990256939,Suburban
"Fredericksburg city, Virginia",472790,51630,28027,72293,15.290721038939065,Urban
"Lane County, Oregon",472720,41039,380532,59016,12.484345913014046,Suburban
"Bucks County, Pennsylvania",472620,42017,643872,99302,21.01096017942533,Urban
"Yuba County, California",472590,6115,80404,62666,13.260119765547303,Suburban
"Orange County, Florida",472180,12095,1409949,65784,13.93197509424372,Urban
"Dane County, Wisconsin",471900,55025,555474,78452,16.624708624708624,Suburban
"Parker County, Texas",471630,48367,144803,88535,18.772130695672452,Urban
"Washington County, Minnesota",470860,27163,264818,102258,21.71728327,Urban
"Waukesha County, Wisconsin",470700,55133,405332,94310,20.036116422349693,Urban
"Madison County, Montana",470510,30057,8499,56410,11.989118190899235,Rural
"Charlottesville city, Virginia",470230,51540,46597,63470,13.497650086128065,Suburban
"Nassau County, Florida",469670,12089,88492,77504,16.501799135563267,Urban
"Johnson County, Kansas",469650,20091,605154,96059,20.453316299371878,Urban
"Prince George's County, Maryland",468340,24033,957767,91124,19.45680488533971,Urban
"St. Mary's County, Maryland",467010,24037,113209,102859,22.02501017108841,Suburban
"Mercer County, New Jersey",465700,34021,384951,85687,18.39961348507623,Suburban
"San Juan County, Colorado",465150,8111,698,63333,13.61560786842954,Rural
"Clatsop County, Oregon",464980,41007,40720,61846,13.300787130629274,Rural
"Benton County, Washington",464980,53005,204551,76612,16.476407587423115,Suburban
"Lewis and Clark County, Montana",464940,30049,70340,66486,14.299909665763323,Rural
"Mono County, California",464870,6051,13291,71138,15.302772818207242,Rural
"Ozaukee County, Wisconsin",464540,55089,91029,86915,18.70990657424549,Urban
"Hillsborough County, Florida",464180,12057,1444359,64164,13.823085871860057,Urban
"Ravalli County, Montana",464060,30081,43790,59640,12.851786406930138,Rural
"Merced County, California",463340,6047,279150,58861,12.703630163594768,Suburban
"Sutter County, California",463040,6101,99080,67003,14.470240152038702,Suburban
"Marion County, Oregon",462300,41047,344037,64880,14.034176941380055,Suburban
"Hamilton County, Indiana",462110,18057,341616,104858,22.69113414554976,Urban
"Maury County, Tennessee",462010,47119,99011,66353,14.361810350425316,Urban
"Bonner County, Idaho",461080,16017,46481,55206,11.973193372082935,Rural
"Twin Falls County, Idaho",459590,16083,89128,57430,12.495920276768423,Rural
"Mesa County, Colorado",459320,8077,154685,62127,13.525864321170426,Suburban
"Canyon County, Idaho",459270,16027,227367,60716,13.220110174842686,Suburban
"Montgomery County, Pennsylvania",458970,42091,850890,99361,21.648691635618885,Urban
"Charles County, Maryland",458700,24017,165209,107808,23.5029431,Urban
"Culpeper County, Virginia",457290,51047,52021,85274,18.64768527630169,Urban
"Hays County, Texas",456580,48209,234573,71061,15.563756625344958,Urban
"King George County, Virginia",456310,51099,26597,101599,22.265345927110957,Rural
"DuPage County, Illinois",456160,17043,934094,100292,21.98614521220624,Urban
